"","NDeposits","RelProbs"
"1",0,0.0102861623477704
"2",1,0.038395455205136
"3",2,0.0782806334351317
"4",3,0.115397890913081
"5",4,0.137535217208864
"6",5,0.140621757138738
"7",6,0.127897342600192
"8",7,0.106007697372688
"9",8,0.0814512690539553
"10",9,0.0587507033280531
"11",10,0.0401652668852195
"12",11,0.0262221843264197
"13",12,0.0164463342424824
"14",13,0.00995783724063379
"15",14,0.00584385602816172
"16",15,0.00333524820352739
"17",16,0.00185643659447335
"18",17,0.00101019085817821
"19",18,0.000538517017294226
